Revenue,Duration,Score,genre,,,,,,,,
43312294,117,6.7,28,,,,,,,,
122444772,89,5.9,28,,,,,,,,
34566746,145,6.9,18,,,,,,,,
159212469,115,5.8,28,,,,,,,,
126546518,87,5.2,16,,,,,,,,
21400000,118,3,28,,,,,,,,
68514844,90,5.6,16,,,,,,,,
53825515,112,5.1,18,,,,,,,,
19480739,116,5.4,28,,,,,,,,
17626234,177,6.1,18,,,,,,,,
69131860,92,5.2,12,,,,,,,,
146936910,106,5.7,14,,,,,,,,
33463969,106,5.4,53,,,,,,,,
107944236,94,6,12,,,,,,,,
19406406,84,7.3,99,,,,,,,,
5989640,110,4.8,53,,,,,,,,
117831631,105,5.2,28,,,,,,,,
0,89,5.3,35,,,,,,,,
313542341,135,7.7,18,,,,,,,,
788241776,89,8,10751,,,,,,,,
355692760,94,5.8,12,,,,,,,,
248384621,95,6.4,16,,,,,,,,
209196298,124,6.7,80,,,,,,,,
108103450,136,6.5,37,,,,,,,,
149673788,91,4.1,35,,,,,,,,
236350661,107,6.2,28,,,,,,,,
97571250,92,7.6,12,,,,,,,,
15071514,99,5.7,878,,,,,,,,
35134820,88,3.9,28,,,,,,,,
875958308,87,5.9,16,,,,,,,,
179265204,110,5.7,14,,,,,,,,
970761885,98,7,16,,,,,,,,
816969268,145,6.7,28,,,,,,,,
229074524,129,6.2,12,,,,,,,,
532680671,86,6.6,10751,,,,,,,,
69959751,109,7.4,18,,,,,,,,
296339527,104,6.8,12,,,,,,,,
258270008,110,6.4,28,,,,,,,,
335062621,136,6.9,28,,,,,,,,
660940780,91,6.5,16,,,,,,,,
196482882,99,6.6,35,,,,,,,,
90450008,117,6.5,10751,,,,,,,,
78000586,114,4.7,27,,,,,,,,
0,78,4.3,28,,,,,,,,
117698894,115,7.3,53,,,,,,,,
271430189,102,6,35,,,,,,,,
219417255,128,7,35,,,,,,,,
73034460,100,5.7,35,,,,,,,,
215663859,124,5.9,28,,,,,,,,
119000410,102,6.5,35,,,,,,,,
367275019,90,5.8,16,,,,,,,,
154937680,134,6.6,18,,,,,,,,
95226116,118,5.4,35,,,,,,,,
130358911,164,6.9,18,,,,,,,,
85632458,121,6.4,28,,,,,,,,
98159963,100,5.7,28,,,,,,,,
108145109,116,7.1,35,,,,,,,,
55041367,130,5.8,35,,,,,,,,
140175006,91,6.3,16,,,,,,,,
67631903,123,6.2,28,,,,,,,,
127600435,134,5.9,28,,,,,,,,
0,148,6.4,18,,,,,,,,
226904017,110,5.7,14,,,,,,,,
77944725,113,6.2,9648,,,,,,,,
36754634,94,6.3,16,,,,,,,,
51142659,116,5,28,,,,,,,,
14567883,99,6.1,28,,,,,,,,
5802422,84,5.8,28,,,,,,,,
5409517,93,4.3,12,,,,,,,,
21009180,113,5.7,28,,,,,,,,
248118121,106,6.9,878,,,,,,,,
1156730962,91,6.4,10751,,,,,,,,
89792502,110,5.9,28,,,,,,,,
103891409,98,5.8,80,,,,,,,,
13100000,134,5.8,878,,,,,,,,
349779543,97,5.9,10751,,,,,,,,
111231041,112,5.4,10749,,,,,,,,
61458982,146,5.7,35,,,,,,,,
86658558,110,6.5,53,,,,,,,,
162966177,116,6.2,35,,,,,,,,
